Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
11212,41006211753,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11213,41006211858,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11214,41006211899,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
11215,41006211906,man,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
11216,41006211921,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11217,41006211943,man,good no adverse circumstances were found,,crossing at a marked crossing
11218,41006211946,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11219,41006211973,Woman,"inattention, distraction","confused, hasty, indecisive behaviour",crossing just in front of or behind a vehicle at a bus stop
11220,50206210233,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11221,50206210238,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11222,50206210249,Woman,not detected,,another situation
11223,50206210268,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11224,50206210269,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11225,50206210319,Woman,good no adverse circumstances were found,,walking on the right side
11226,50206210466,Woman,good no adverse circumstances were found,,another situation
11227,50206210552,man,good no adverse circumstances were found,,another situation
11228,50206210557,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11229,50206210559,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11230,50206210571,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
11231,50206210648,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11232,50206210746,Woman,good no adverse circumstances were found,,another situation
11233,50206210860,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,another situation
11234,50206210937,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",Crossing outside the crossing (20 metres or more from the crossing)
11235,50206210940,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
11236,50206211027,man,good no adverse circumstances were found,"correct, appropriate",another situation
11237,50206211056,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11238,50206211097,Woman,invalid,"correct, appropriate",another situation
11239,50206211121,child (up to 15 years),not detected,,another situation
11240,50206211139,child (up to 15 years),"inattention, distraction",Side impact,another situation
11241,50206211152,another group,not detected,,another situation
11242,50206211230,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
11243,50206211245,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11244,50206211280,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11245,50206211336,man,not detected,,another situation
11246,50206211347,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",walking on the wrong side
11247,50206211380,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11248,50206211384,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11249,50206211441,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11250,50206211485,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11251,50206211498,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11252,50206211559,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
11253,50206211644,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
11254,50406210275,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11255,50406210326,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,walking on the wrong side
11256,50406210350,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11257,50406210358,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,another situation
11258,50406210359,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11259,50406210464,child (up to 15 years),"inattention, distraction",Side impact,crossing at a marked crossing
11260,50406210470,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
11261,50406210508,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
11262,50406210510,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11263,50406210538,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
11264,50406210552,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
11265,50406210581,man,good no adverse circumstances were found,"correct, appropriate",crossing just in front of or behind a parked vehicle
